path,lines,cyclomatic,churn,churn_adds,churn_dels,num_commits,num_developers,num_pre_release_issues,num_issues,changed_lines,mean_experience,post_num_commits,num_cochanged_files
java/build/org/apache/derbyBuild/ChangesFileGenerator.java,1236,94,1236,1236,0,1,1,0,0,0,0.0,0,0
java/build/org/apache/derbyBuild/ClassSizeCrawler.java,315,33,3,0,3,1,1,0,0,0,0.0,0,0
java/build/org/apache/derbyBuild/JiraConnector.java,113,8,113,113,0,1,1,0,0,0,0.0,0,0
java/build/org/apache/derbyBuild/MessageBuilder.java,784,64,2,1,1,1,1,0,0,0,0.0,0,0
java/build/org/apache/derbyBuild/ODBCMetadataGenerator.java,1249,107,94,88,6,1,1,2,0,0,0.0,0,0
java/build/org/apache/derbyBuild/ReleaseNoteReader.java,222,11,232,227,5,2,1,0,0,0,0.0,0,0
java/build/org/apache/derbyBuild/ReleaseNotesGenerator.java,1516,108,1692,1604,88,6,1,0,0,0,0.0,0,0
java/build/org/apache/derbyBuild/classlister.java,740,109,0,0,0,0,0,0,0,0,0.0,0,0
java/build/org/apache/derbyBuild/eclipse/DerbyEclipsePlugin.java,186,5,0,0,0,0,0,0,0,0,0.0,0,0
java/build/org/apache/derbyBuild/javadoc/DiskLayoutTaglet.java,137,15,0,0,0,0,0,0,0,0,0.0,0,0
java/build/org/apache/derbyBuild/javadoc/EndFormatTaglet.java,136,15,0,0,0,0,0,0,0,0,0.0,0,0
java/build/org/apache/derbyBuild/javadoc/FormatIdTaglet.java,138,15,0,0,0,0,0,0,0,0,0.0,0,0
java/build/org/apache/derbyBuild/javadoc/PurposeTaglet.java,139,15,0,0,0,0,0,0,0,0,0.0,0,0
java/build/org/apache/derbyBuild/javadoc/UpgradeTaglet.java,137,15,0,0,0,0,0,0,0,0,0.0,0,0
java/build/org/apache/derbyBuild/maintversion2props.java,60,3,0,0,0,0,0,0,0,0,0.0,0,0
java/build/org/apache/derbyBuild/propertyconfig.java,347,24,0,0,0,0,0,0,1,2,150.0,1,3
java/build/org/apache/derbyBuild/splitmessages.java,247,12,0,0,0,0,0,0,1,8,150.0,1,3
java/client/org/apache/derby/client/ClientDataSourceFactory.java,157,10,0,0,0,0,0,0,1,16,34.0,1,1
java/client/org/apache/derby/client/ClientPooledConnection.java,340,35,0,0,0,0,0,0,1,6,48.0,1,5
java/client/org/apache/derby/client/ClientPooledConnection40.java,153,13,0,0,0,0,0,0,1,41,33.0,1,0
java/client/org/apache/derby/client/ClientXAConnection.java,140,15,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/ClientXAConnection40.java,139,11,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/ClientXid.java,206,17,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/Agent.java,279,55,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/AsciiStream.java,57,6,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/BatchUpdateException.java,100,10,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/Blob.java,766,98,348,257,91,6,3,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/BlobLocatorInputStream.java,211,14,240,211,29,7,5,0,1,3,158.0,1,1
java/client/org/apache/derby/client/am/BlobLocatorOutputStream.java,146,11,197,174,23,4,2,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/BlobOutputStream.java,75,9,30,16,14,1,1,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/ByteArrayCombinerStream.java,210,18,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/CallableLocatorProcedures.java,1073,87,1201,1137,64,7,3,2,0,0,0.0,0,0
java/client/org/apache/derby/client/am/CallableStatement.java,1261,268,26,17,9,1,1,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/CallableStatement40.java,323,43,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/ClientJDBCObjectFactory.java,328,20,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/ClientMessageId.java,40,1,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/Clob.java,1074,137,403,280,123,6,4,1,1,186,2.0,1,0
java/client/org/apache/derby/client/am/ClobLocatorInputStream.java,203,14,211,202,9,5,3,0,1,3,158.0,1,1
java/client/org/apache/derby/client/am/ClobLocatorOutputStream.java,144,11,157,153,4,2,2,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/ClobLocatorReader.java,234,18,277,241,36,5,3,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/ClobLocatorWriter.java,173,14,193,186,7,3,2,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/ClobOutputStream.java,81,8,29,14,15,2,2,1,0,0,0.0,0,0
java/client/org/apache/derby/client/am/ClobWriter.java,94,12,41,16,25,1,1,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/CloseFilterInputStream.java,117,12,1,0,1,1,1,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/ColumnMetaData.java,932,216,11,10,1,2,2,2,0,0,0.0,0,0
java/client/org/apache/derby/client/am/ColumnMetaData40.java,77,5,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/Configuration.java,216,9,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/Connection.java,2268,361,199,184,15,9,6,1,0,0,0.0,0,0
java/client/org/apache/derby/client/am/ConnectionCallbackInterface.java,47,6,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/CrossConverters.java,1457,346,12,0,12,1,1,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/Cursor.java,1310,288,40,26,14,3,3,2,0,0,0.0,0,0
java/client/org/apache/derby/client/am/DatabaseMetaData.java,2782,336,12,11,1,2,2,2,0,0,0.0,0,0
java/client/org/apache/derby/client/am/DateTime.java,833,23,305,172,133,3,2,2,0,0,0.0,0,0
java/client/org/apache/derby/client/am/Decimal.java,482,45,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/Diagnosable.java,28,2,2,0,2,1,1,1,0,0,0.0,0,0
java/client/org/apache/derby/client/am/DisconnectException.java,81,12,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/EncryptionManager.java,691,63,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/ErrorKey.java,47,3,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/ExceptionFormatter.java,186,20,28,1,27,2,1,1,0,0,0.0,0,0
java/client/org/apache/derby/client/am/FailedProperties40.java,114,8,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/FloatingPoint.java,116,7,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/GetFileInputStreamAction.java,51,3,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/GetResourceBundleAction.java,41,3,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/GetResourceInputStreamAction.java,93,12,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/GetSystemPropertiesAction.java,55,3,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/Lob.java,376,38,156,131,25,6,3,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/LogWriter.java,1282,274,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/LogicalConnection.java,339,55,0,0,0,0,0,0,1,323,48.0,1,5
java/client/org/apache/derby/client/am/LogicalConnection40.java,216,19,0,0,0,0,0,0,1,184,49.0,1,6
java/client/org/apache/derby/client/am/MaterialPreparedStatement.java,61,7,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/MaterialStatement.java,71,15,0,0,0,0,0,0,1,2,2.0,1,5
java/client/org/apache/derby/client/am/ParameterMetaData.java,94,14,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/ParameterMetaData40.java,71,4,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/PreparedStatement.java,3178,434,31,19,12,5,3,2,1,22,44.5,2,1
java/client/org/apache/derby/client/am/PreparedStatement40.java,159,13,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/PreparedStatementCallbackInterface.java,38,2,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/ProductLevel.java,96,16,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/ResultSet.java,6167,1011,267,255,12,3,3,1,0,0,0.0,0,0
java/client/org/apache/derby/client/am/ResultSetCallbackInterface.java,41,5,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/SQLExceptionFactory.java,49,2,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/SQLExceptionFactory40.java,99,9,2,1,1,1,1,1,2,7,111.0,1,2
java/client/org/apache/derby/client/am/Savepoint.java,68,6,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/Section.java,149,22,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/SectionManager.java,220,27,0,0,0,0,0,0,1,7,127.0,1,1
java/client/org/apache/derby/client/am/SetAccessibleAction.java,49,4,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/SignedBinary.java,109,7,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/SqlCode.java,60,2,0,0,0,0,0,0,1,2,48.0,1,5
java/client/org/apache/derby/client/am/SqlException.java,542,57,101,50,51,2,1,1,0,0,0.0,0,0
java/client/org/apache/derby/client/am/SqlState.java,63,2,0,0,0,0,0,0,0,0,0.0,0,0
java/client/org/apache/derby/client/am/SqlWarning.java,120,13,8,1,7,1,1,1,0,0,0.0,0,0
java/client/org/apache/derby/client/am/Sqlca.java,446,62,222,133,89,1,1,1,0,0,0.0,0,0
java/client/org/apache/derby/client/am/Statement.java,2812,463,31,13,18,2,2,0,1,31,2.0,1,5
java/client/org/apache/derby/client/am/Statement40.java,83,5,0,0,0,0,0,0,0,0,0.0,0,0
