path,lines,cyclomatic,churn,churn_adds,churn_dels,num_commits,num_developers,num_pre_release_issues,num_issues,changed_lines,mean_experience,post_num_commits,num_cochanged_files
archetypes/quickstart/src/main/resources/archetype-resources/src/main/java/HomePage.java,1,0,145,87,58,3,2,0,0,0,0.0,0,0
archetypes/quickstart/src/main/resources/archetype-resources/src/main/java/WicketApplication.java,0,0,135,81,54,3,2,0,0,0,0.0,0,0
jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/datetime/DateConverter.java,247,22,140,105,35,6,1,0,0,0,0.0,0,0
jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/datetime/PatternDateConverter.java,100,4,4,1,3,1,1,0,0,0,0.0,0,0
jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/datetime/StyleDateConverter.java,120,5,14,7,7,2,1,0,1,3,31.0,1,0
jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/datetime/markup/html/basic/DateLabel.java,286,19,14,14,0,2,1,0,0,0,0.0,0,0
jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/datetime/markup/html/form/DateTextField.java,232,12,24,14,10,3,2,0,0,0,0.0,0,0
jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/YuiLib.java,67,2,70,51,19,7,2,0,0,0,0.0,0,0
jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/AbstractCalendar.java,271,15,556,278,278,4,2,0,1,18,32.0,1,0
jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/DateField.java,187,12,350,208,142,18,3,3,0,0,0.0,0,0
jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/DatePicker.java,646,55,902,562,340,38,5,8,1,5,24.0,1,0
jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/DateTimeField.java,478,45,673,428,245,25,6,3,1,16,72.0,1,0
jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/Initializer.java,46,2,0,0,0,0,0,0,0,0,0.0,0,0
jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/AjaxEditableChoiceLabel.java,191,10,76,37,39,4,3,2,1,45,50.0,1,1
jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/AjaxEditableLabel.java,522,42,195,135,60,18,6,7,1,64,29.0,1,0
jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/AjaxEditableMultiLineLabel.java,213,15,19,15,4,1,1,0,2,30,50.5,2,1
jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/AjaxLazyLoadPanel.java,102,7,112,105,7,4,2,0,0,0,0.0,0,0
jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/IndicatingAjaxButton.java,62,3,59,59,0,1,1,0,0,0,0.0,0,0
jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/IndicatingAjaxFallbackLink.java,73,3,0,0,0,0,0,0,0,0,0.0,0,0
jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/IndicatingAjaxLink.java,70,3,0,0,0,0,0,0,0,0,0.0,0,0
