Prec,Flex,Resl,Team,Pmat,rely,cplx,data,ruse,time,stor,pvol,acap,pcap,pcon,aexp,plex,ltex,tool,sced,site,docu,kloc,effort
2,2,2,3,3,4,5,4,3,5,6,4,4,4,3,4,3,3,1,3,4,4,77.0,1830.0
2,2,2,3,3,5,5,2,3,5,6,2,4,3,3,2,1,2,2,3,4,4,23.8,648.0
2,2,2,3,3,4,5,3,3,5,5,4,3,3,3,3,2,2,1,3,4,4,22.5,492.0
2,2,3,3,2,4,4,3,2,3,3,4,3,3,3,3,3,4,2,3,5,3,146.0,3291.8
2,3,3,5,3,3,4,3,2,4,4,2,5,5,4,5,1,5,3,3,6,3,113.19,1080.0
3,3,3,3,3,3,4,3,2,3,3,3,3,3,3,4,3,4,2,3,4,3,184.0,1042.8
5,3,3,3,4,4,4,3,2,3,3,2,3,3,3,5,3,4,2,3,5,3,60.5,336.0
5,3,3,4,4,4,5,3,2,3,3,2,3,3,3,5,3,4,2,3,6,3,50.0,637.0
3,3,3,2,3,4,5,3,2,3,3,3,3,3,3,4,3,4,2,3,5,3,253.0,2519.0
3,3,4,3,3,4,4,3,4,3,3,2,3,4,3,3,1,4,5,3,2,3,158.75,1047.9
3,3,3,3,3,4,5,3,2,3,3,4,4,4,5,4,4,4,2,1,5,3,324.0,1735.4
3,2,4,4,3,4,5,3,4,3,4,5,4,4,3,4,4,3,4,2,6,3,224.0,691.0
5,2,2,4,3,4,3,3,4,5,4,3,4,4,3,4,4,4,3,3,3,3,104.6,320.0
3,2,2,4,3,4,3,3,3,3,3,2,4,4,3,4,4,4,3,3,3,3,173.4,329.0
3,2,4,3,3,4,5,3,4,3,3,4,3,4,4,4,3,3,3,3,5,3,597.0,1705.0
4,2,4,3,5,4,3,2,3,3,4,4,2,2,3,3,5,5,3,3,5,3,155.0,789.0
4,3,3,3,4,4,4,3,2,3,3,3,4,4,3,5,4,4,2,3,5,3,170.0,552.0
