Prec,Flex,Resl,Team,Pmat,rely,data,ruse,docu,cplx,time,stor,pvol,acap,pcap,aexp,plex,ltex,pcon,tool,site,sced,kloc,effort
4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,315.0,112.0
3,2,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1912.9,526.5
5,3,4,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,296.1,75.6
4,3,4,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,538.65,267.0
2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1167.1,304.4
2,2,3,2,4,3,4,3,3,5,4,4,3,4,3,3,2,2,4,4,3,3,151.5,1944.0
4,2,3,4,4,3,4,3,4,5,4,4,3,4,3,4,3,3,4,4,3,3,37.18,222.0
4,4,3,4,2,3,3,3,2,5,4,3,3,5,5,5,3,1,5,3,3,3,16.0,34.0
4,3,3,4,2,3,3,3,2,5,4,3,3,4,4,4,4,3,4,3,3,3,19.03,53.0
4,2,2,3,2,4,4,3,3,5,4,4,3,3,3,3,2,2,3,3,3,3,26.94,284.0
4,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,4,4,4,3,3,3,92.2,394.0
4,3,4,4,4,3,3,3,3,3,3,3,2,3,3,3,4,3,4,4,3,3,236.58,573.0
4,2,3,3,4,4,3,3,4,5,4,4,2,4,4,4,4,4,4,3,2,3,45.29,153.0
3,1,2,2,3,5,5,2,3,4,5,4,5,4,4,5,4,3,3,3,5,3,146.67,542.0
2,1,1,4,2,4,5,2,2,4,5,4,5,4,4,5,4,4,3,3,3,3,209.62,529.0
2,1,2,3,2,4,5,2,2,4,4,4,5,4,4,5,3,4,3,2,5,2,280.91,973.0
3,1,2,4,5,4,5,3,2,4,3,3,3,4,4,5,3,3,3,3,5,2,168.0,399.0
2,3,2,3,2,3,5,2,1,4,3,3,5,4,4,5,4,4,3,3,5,2,364.49,684.0
2,3,2,3,2,3,5,2,1,4,3,3,5,4,4,5,4,4,3,3,5,3,328.65,560.0
1,2,3,3,4,4,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,274.3,619.0
2,2,3,1,4,4,5,2,3,4,3,3,4,4,4,3,4,4,3,4,5,1,736.49,2320.0
4,4,3,5,3,4,3,4,2,4,4,3,2,3,3,2,2,2,3,4,2,2,106.76,376.3
4,4,3,5,3,4,5,4,4,5,4,4,4,3,3,2,3,3,2,2,2,2,5.38,112.2
4,4,3,5,3,4,5,4,4,5,4,4,4,3,3,2,3,3,2,2,2,2,5.38,86.7
4,4,3,5,3,3,3,4,3,3,3,3,2,4,4,5,5,4,5,4,3,3,55.36,72.4
4,4,3,5,3,4,4,4,3,3,3,3,3,4,4,5,5,5,5,3,3,3,50.95,87.7
4,4,3,5,3,4,4,4,3,3,3,3,3,4,4,5,5,5,5,3,3,3,69.69,88.7
