Prec,Flex,Resl,Team,Pmat,rely,data,cplx,ruse,docu,time,stor,pvol,acap,pcap,pcon,aexp,plex,ltex,tool,site,sced,kloc,effort
4,4,4,5,1,2,5,1,3,3,3,4,4,2,2,3,2,2,3,1,4,3,113.0,2040.0
4,4,4,5,1,2,5,2,3,3,3,4,3,3,3,3,4,4,4,1,4,3,293.0,1600.0
4,4,4,5,3,3,5,2,3,3,3,3,2,4,4,3,5,4,4,2,4,3,132.0,243.0
4,4,4,5,1,1,5,1,3,3,3,3,2,2,1,3,4,3,4,1,4,3,60.0,240.0
4,4,4,5,1,2,2,3,3,3,3,3,2,3,4,3,3,4,4,1,4,3,16.0,33.0
4,4,4,5,1,1,3,2,3,3,3,5,3,1,1,3,3,4,4,1,4,3,4.0,43.0
4,4,4,5,3,1,3,3,3,3,3,3,2,3,3,3,3,4,4,2,4,3,6.9,8.0
4,4,4,5,1,4,2,5,3,3,6,6,5,5,3,3,4,1,1,1,4,2,22.0,1075.0
4,4,4,5,3,4,2,5,3,3,5,5,4,4,4,3,3,2,2,1,4,3,30.0,423.0
4,4,4,5,2,5,2,5,3,3,4,6,3,4,4,3,5,4,3,1,4,3,29.0,321.0
4,4,4,5,2,5,2,5,3,3,4,6,3,4,4,3,5,4,3,1,4,3,32.0,218.0
4,4,4,5,3,4,2,5,3,3,4,4,3,4,4,3,5,3,4,1,4,2,37.0,201.0
4,4,4,5,3,4,2,5,3,3,4,4,4,5,5,3,3,2,3,1,4,3,25.0,79.0
4,4,4,5,1,4,2,6,3,3,5,6,4,4,5,3,3,2,2,1,4,1,3.0,60.0
4,4,4,5,3,5,2,5,3,3,5,4,4,4,4,3,2,1,1,1,4,1,3.9,61.0
4,4,4,5,2,5,3,5,3,3,5,6,3,4,4,3,3,3,3,1,4,3,6.1,40.0
4,4,4,5,2,5,3,5,3,3,5,6,3,4,4,3,5,3,3,1,4,3,3.6,9.0
4,4,4,5,1,4,5,4,3,3,5,5,3,4,3,3,3,3,3,1,4,2,320.0,11400.0
4,4,4,5,3,4,4,3,3,3,4,5,2,5,3,3,4,3,3,2,4,3,1150.0,6600.0
4,4,4,5,1,5,4,5,3,3,4,5,4,5,3,3,5,2,2,1,4,2,299.0,6400.0
4,4,4,5,3,3,5,4,3,3,3,3,2,4,3,3,3,3,3,2,4,3,252.0,2455.0
4,4,4,5,3,4,3,3,3,3,3,4,3,4,4,3,5,4,3,1,4,1,118.0,724.0
4,4,4,5,2,4,3,3,3,3,3,4,3,4,4,3,5,4,3,1,4,1,77.0,539.0
4,4,4,5,3,2,3,2,3,3,3,4,3,3,3,3,1,2,4,3,4,3,90.0,453.0
4,4,4,5,3,4,5,5,3,3,3,4,3,4,4,3,3,2,3,2,4,2,38.0,523.0
4,4,4,5,3,3,3,2,3,3,3,4,4,4,4,3,3,2,3,1,4,2,48.0,387.0
4,4,4,5,3,4,2,4,3,3,3,5,3,3,3,3,3,3,3,1,4,2,9.4,88.0
4,4,4,5,1,4,4,5,3,3,4,5,4,4,4,3,3,2,2,1,4,3,13.0,98.0
4,4,4,5,3,2,3,3,3,3,3,3,3,3,4,3,1,3,3,2,4,1,2.14,7.3
4,4,4,5,3,2,3,3,3,3,3,3,3,3,4,3,1,3,3,2,4,1,1.98,5.9
4,4,4,5,2,5,4,3,3,3,3,6,4,4,4,3,5,2,2,1,4,3,62.0,1063.0
4,4,4,5,1,2,4,2,3,3,3,3,3,5,3,3,5,3,3,1,4,3,390.0,702.0
4,4,4,5,3,5,4,5,3,3,3,6,4,4,4,3,5,4,3,2,4,3,42.0,605.0
4,4,4,5,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1,4,1,23.0,230.0
4,4,4,5,1,1,2,5,3,3,3,5,4,3,3,3,4,2,3,1,4,3,13.0,82.0
4,4,4,5,2,2,3,3,3,3,3,3,2,2,2,3,3,4,4,2,4,3,15.0,55.0
4,4,4,5,2,2,2,1,3,3,3,4,3,4,4,3,5,3,3,1,4,3,60.0,47.0
4,4,4,5,3,3,3,4,3,3,3,3,2,5,3,3,4,4,4,2,4,3,15.0,12.0
4,4,4,5,3,3,3,4,3,3,3,3,2,5,5,3,5,3,4,1,4,3,6.2,8.0
4,4,4,5,1,3,2,5,3,3,3,3,3,4,2,3,5,3,3,1,4,3,3.0,8.0
4,4,4,5,3,2,2,3,3,3,3,3,2,3,5,3,5,4,4,2,4,3,5.3,6.0
4,4,4,5,2,2,3,3,3,3,3,4,2,4,3,3,3,4,4,1,4,3,45.5,45.0
4,4,4,5,2,3,3,3,3,3,3,5,2,4,3,3,3,4,4,1,4,3,28.6,83.0
4,4,4,5,1,2,3,3,3,3,3,5,2,3,3,3,3,4,4,1,4,3,30.6,87.0
4,4,4,5,2,2,3,3,3,3,3,4,2,3,3,3,3,4,4,1,4,3,35.0,106.0
4,4,4,5,2,2,3,3,3,3,3,4,2,3,4,3,3,4,4,1,4,3,73.0,126.0
4,4,4,5,1,1,2,5,3,3,3,3,2,5,5,3,5,2,2,1,4,3,23.0,36.0
4,4,4,5,1,2,2,2,3,3,3,3,2,2,2,3,4,4,4,1,4,3,464.0,1272.0
4,4,4,5,3,3,3,2,3,3,3,3,3,5,5,3,3,2,3,2,4,3,91.0,156.0
4,4,4,5,2,4,3,3,3,3,5,5,3,4,4,3,3,2,3,1,4,3,24.0,176.0
4,4,4,5,1,2,3,3,3,3,3,3,3,2,1,3,3,3,4,1,4,3,10.0,122.0
4,4,4,5,1,2,2,2,3,3,3,4,4,3,3,3,3,2,2,1,4,3,8.2,41.0
4,4,4,5,2,2,2,4,3,3,4,5,5,5,5,3,3,2,2,1,4,2,5.3,14.0
4,4,4,5,3,3,2,3,3,3,3,4,4,3,3,3,5,3,4,1,4,3,4.4,20.0
4,4,4,5,1,2,2,1,3,3,3,3,2,4,2,3,5,4,4,1,4,3,6.3,18.0
4,4,4,5,1,4,2,5,3,3,5,5,3,4,3,3,4,2,2,1,4,2,27.0,958.0
4,4,4,5,1,3,2,4,3,3,4,5,5,3,3,3,3,2,2,1,4,1,17.0,237.0
4,4,4,5,3,5,2,5,3,3,6,5,3,5,5,3,5,4,4,1,4,3,25.0,130.0
4,4,4,5,3,3,2,4,3,3,3,4,3,3,3,3,3,3,3,1,4,3,23.0,70.0
4,4,4,5,1,4,2,5,3,3,4,4,3,4,4,3,2,2,2,1,4,2,6.7,57.0
4,4,4,5,3,3,2,4,3,3,3,3,2,4,4,3,3,4,3,1,4,3,28.0,50.0
4,4,4,5,3,2,2,5,3,3,4,5,4,3,5,3,5,1,1,1,4,3,9.1,38.0
4,4,4,5,3,3,2,4,3,3,3,3,3,5,4,3,5,3,3,1,4,3,10.0,15.0
